Number_QPs,Precision,Recall,F1,Time
10,0.9833333333333332,0.975,0.9733333333333334,0 days 00:00:00.007401000
8,0.9208333333333332,0.925,0.915,0 days 00:00:00.005539000
9,0.9,0.9125,0.8933333333333332,0 days 00:00:00.005716000
7,0.85,0.8875,0.8625,0 days 00:00:00.006161000
5,0.8208333333333334,0.875,0.8375,0 days 00:00:00.006661000
6,0.7933333333333332,0.8375,0.8017857142857142,0 days 00:00:00.005310000
4,0.7083333333333334,0.7708333333333334,0.725,0 days 00:00:00.005207000
3,0.71875,0.75,0.7166666666666667,0 days 00:00:00.005655000
2,0.47916666666666663,0.625,0.5208333333333333,0 days 00:00:00.005247000
